licencePlate,start_time,end_time,start_lat,start_lon,end_lat,end_lon,travel_time,vehicleTypeId,zipCode,model,type,postcode,zipCodeFixed,end_zipCode,end_postcode,start_area,end_area,route,day_of_week,hour_of_day
ce58907,2025-07-22 14:14:49,2025-07-22 15:08:49,55.696949,12.586576,55.696915,12.58656,54,2,2100,Renault Zoe,car,2100,2100,2500.0,2500.0,Kobenhavn O,Valby,Kobenhavn O → Valby,Tuesday,14
ce58907,2025-07-22 21:02:01,2025-07-23 06:12:01,55.660629,12.605627,55.660603,12.605632,550,2,2300,Renault Zoe,car,2300,2300,2500.0,2500.0,Kobenhavn S,Valby,Kobenhavn S → Valby,Tuesday,21
de88629,2025-07-22 05:49:29,2025-07-22 11:15:29,55.665478,12.557597,55.665382,12.557528,326,34,1718,Renault Zoe,car,1550,1550,2100.0,2100.0,Kobenhavn V,Kobenhavn O,Kobenhavn V → Kobenhavn O,Tuesday,5
dr11638,2025-07-23 07:50:01,2025-07-23 08:36:01,55.68314,12.58534,55.683186,12.585388,46,34,1301,Renault Zoe,car,1050,1050,2300.0,2300.0,Kobenhavn K,Kobenhavn S,Kobenhavn K → Kobenhavn S,Wednesday,7
dr11690,2025-07-22 11:34:48,2025-07-22 12:16:48,55.686272,12.538904,55.686321,12.538924,42,34,2000,Renault Zoe,car,2000,2000,2100.0,2100.0,Frederiksberg C,Kobenhavn O,Frederiksberg C → Kobenhavn O,Tuesday,11
dy18912,2025-07-23 12:14:01,2025-07-23 12:58:01,55.665146,12.55742,55.665104,12.557404,44,34,1725,Renault Zoe,car,1550,1550,2150.0,2150.0,Kobenhavn V,Nordhavn,Kobenhavn V → Nordhavn,Wednesday,12
dy44140,2025-07-21 15:17:29,2025-07-21 16:13:29,55.705158,12.57819,55.705223,12.578222,56,34,2100,Renault Zoe,car,2100,2100,2400.0,2400.0,Kobenhavn O,Kobenhavn NV,Kobenhavn O → Kobenhavn NV,Monday,15
dz55091,2025-07-22 13:50:49,2025-07-22 16:46:49,55.67802,12.531056,55.677849,12.531034,176,34,1861,Renault Zoe,car,2000,2000,2100.0,2100.0,Frederiksberg C,Kobenhavn O,Frederiksberg C → Kobenhavn O,Tuesday,13
dz81031,2025-07-21 16:37:29,2025-07-21 17:21:29,55.696812,12.53293,55.6968,12.532991,44,34,2200,Renault Zoe,car,2200,2200,2500.0,2500.0,Kobenhavn N,Valby,Kobenhavn N → Valby,Monday,16
dz81041,2025-07-22 04:47:29,2025-07-22 08:39:29,55.718227,12.540206,55.718269,12.540188,232,34,2400,Renault Zoe,car,2400,2400,2500.0,2500.0,Kobenhavn NV,Valby,Kobenhavn NV → Valby,Tuesday,4
dz81041,2025-07-22 10:49:29,2025-07-22 20:50:01,55.685524,12.532113,55.685555,12.532255,601,34,2000,Renault Zoe,car,2000,2000,2500.0,2500.0,Frederiksberg C,Valby,Frederiksberg C → Valby,Tuesday,10
ea13811,2025-07-22 13:10:49,2025-07-22 15:18:49,55.687271,12.523856,55.687271,12.523838,128,2,2000,Renault Zoe,car,2000,2000,2300.0,2300.0,Frederiksberg C,Kobenhavn S,Frederiksberg C → Kobenhavn S,Tuesday,13
ea56801,2025-07-21 13:25:29,2025-07-22 05:25:29,55.673397,12.531873,55.673397,12.531938,960,34,2000,Renault Zoe,car,2000,2000,2400.0,2400.0,Frederiksberg C,Kobenhavn NV,Frederiksberg C → Kobenhavn NV,Monday,13
ea75186,2025-07-22 14:24:49,2025-07-22 14:32:49,55.718887,12.552982,55.718864,12.552946,8,34,2100,Renault Zoe,car,2100,2100,2100.0,2100.0,Kobenhavn O,Kobenhavn O,Kobenhavn O → Kobenhavn O,Tuesday,14
ec12343,2025-07-22 17:32:49,2025-07-23 05:28:01,55.711891,12.57523,55.711929,12.575156,715,34,2100,Renault Zoe,car,2100,2100,2300.0,2300.0,Kobenhavn O,Kobenhavn S,Kobenhavn O → Kobenhavn S,Tuesday,17
bs50910,2025-07-24 14:56:01,2025-07-24 15:30:01,55.699757,12.487353,55.699722,12.487362,34,2,2700,Renault Zoe,car,2700,2700,2000.0,2000.0,Bronshoj,Frederiksberg C,Bronshoj → Frederiksberg C,Thursday,14
bv17566,2025-07-23 13:12:01,2025-07-23 14:10:01,55.655037,12.51877,55.655022,12.518786,58,2,2500,Renault Zoe,car,2500,2500,2450.0,2450.0,Valby,Kobenhavn SV,Valby → Kobenhavn SV,Wednesday,13
cx86745,2025-07-24 20:36:01,2025-07-24 21:22:01,55.683716,12.585199,55.683666,12.585175,46,34,1301,Renault Zoe,car,1050,1050,2450.0,2450.0,Kobenhavn K,Kobenhavn SV,Kobenhavn K → Kobenhavn SV,Thursday,20
dd34515,2025-07-23 15:26:01,2025-07-23 15:56:01,55.707188,12.535854,55.707218,12.535803,30,34,2400,Renault Zoe,car,2400,2400,2300.0,2300.0,Kobenhavn NV,Kobenhavn S,Kobenhavn NV → Kobenhavn S,Wednesday,15
dd51652,2025-07-24 16:00:01,2025-07-24 17:00:02,55.666748,12.55708,55.666893,12.5571,60,34,1717,Renault Zoe,car,1550,1550,2300.0,2300.0,Kobenhavn V,Kobenhavn S,Kobenhavn V → Kobenhavn S,Thursday,16
de88651,2025-07-24 13:46:01,2025-07-24 13:52:01,55.676147,12.559457,55.676147,12.559457,6,34,1605,Renault Zoe,car,1550,1550,2300.0,2300.0,Kobenhavn V,Kobenhavn S,Kobenhavn V → Kobenhavn S,Thursday,13
dr11699,2025-07-24 17:34:01,2025-07-24 19:20:01,55.675194,12.547164,55.675156,12.547166,106,34,1850,Renault Zoe,car,2000,2000,2100.0,2100.0,Frederiksberg C,Kobenhavn O,Frederiksberg C → Kobenhavn O,Thursday,17
dr11704,2025-07-24 10:28:02,2025-07-24 11:58:01,55.68269,12.564229,55.68269,12.564157,90,34,1366,Renault Zoe,car,1050,1050,2300.0,2300.0,Kobenhavn K,Kobenhavn S,Kobenhavn K → Kobenhavn S,Thursday,10
dr11713,2025-07-25 10:26:01,2025-07-25 11:34:01,55.665665,12.615261,55.665607,12.615132,68,34,2300,Renault Zoe,car,2300,2300,2300.0,2300.0,Kobenhavn S,Kobenhavn S,Kobenhavn S → Kobenhavn S,Friday,10
dx15907,2025-07-24 04:18:01,2025-07-25 13:06:01,55.665512,12.551309,55.665535,12.551169,1968,34,1727,Renault Zoe,car,1550,1550,2300.0,2300.0,Kobenhavn V,Kobenhavn S,Kobenhavn V → Kobenhavn S,Thursday,4
dz55107,2025-07-25 05:16:01,2025-07-25 05:44:01,55.697216,12.568929,55.697281,12.568817,28,34,2100,Renault Zoe,car,2100,2100,2100.0,2100.0,Kobenhavn O,Kobenhavn O,Kobenhavn O → Kobenhavn O,Friday,5
dz55130,2025-07-23 13:12:01,2025-07-23 16:06:01,55.632072,12.5791,55.632225,12.579385,174,34,1561,Renault Zoe,car,1550,1550,2720.0,2720.0,Kobenhavn V,Vanlose,Kobenhavn V → Vanlose,Wednesday,13
dz81027,2025-07-23 16:36:01,2025-07-23 19:54:01,55.6959,12.539249,55.69598,12.539307,198,34,1959,Renault Zoe,car,2000,2000,2400.0,2400.0,Frederiksberg C,Kobenhavn NV,Frederiksberg C → Kobenhavn NV,Wednesday,16
ea53676,2025-07-24 09:12:01,2025-07-24 10:12:01,55.67281,12.59234,55.672802,12.592362,60,34,1417,Renault Zoe,car,1050,1050,2400.0,2400.0,Kobenhavn K,Kobenhavn NV,Kobenhavn K → Kobenhavn NV,Thursday,9
dc47416,2025-08-10 19:09:09,2025-08-11 04:37:08,55.686508,12.567985,55.686508,12.567985,568,34,1356,Renault Zoe,car,1050,1050,2400.0,2400.0,Kobenhavn K,Kobenhavn NV,Kobenhavn K → Kobenhavn NV,Sunday,19
dr11735,2025-08-12 11:59:08,2025-08-12 14:43:08,55.655972,12.506541,55.656315,12.506722,164,34,2500,Renault Zoe,car,2500,2500,2100.0,2100.0,Valby,Kobenhavn O,Valby → Kobenhavn O,Tuesday,11
dz55135,2025-08-11 11:49:08,2025-08-11 14:21:09,55.650887,12.616663,55.650887,12.616663,152,34,2300,Renault Zoe,car,2300,2300,2300.0,2300.0,Kobenhavn S,Kobenhavn S,Kobenhavn S → Kobenhavn S,Monday,11
dz55147,2025-08-10 21:23:09,2025-08-11 08:03:08,55.657673,12.606586,55.657673,12.606586,640,34,2300,Renault Zoe,car,2300,2300,2300.0,2300.0,Kobenhavn S,Kobenhavn S,Kobenhavn S → Kobenhavn S,Sunday,21
dz55148,2025-08-12 03:51:08,2025-08-12 04:19:09,55.668865,12.545543,55.668816,12.545707,28,34,1754,Renault Zoe,car,1550,1550,2300.0,2300.0,Kobenhavn V,Kobenhavn S,Kobenhavn V → Kobenhavn S,Tuesday,3
dz55148,2025-08-12 13:29:08,2025-08-12 14:43:08,55.666039,12.542913,55.66608,12.54292,74,34,1760,Renault Zoe,car,1550,1550,2300.0,2300.0,Kobenhavn V,Kobenhavn S,Kobenhavn V → Kobenhavn S,Tuesday,13
dz81042,2025-08-12 09:23:08,2025-08-12 11:09:08,55.668571,12.544462,55.668522,12.545101,106,34,1754,Renault Zoe,car,1550,1550,2200.0,2200.0,Kobenhavn V,Kobenhavn N,Kobenhavn V → Kobenhavn N,Tuesday,9
dz92203,2025-08-11 04:27:08,2025-08-11 05:39:09,55.682846,12.545646,55.682846,12.545646,72,34,1871,Renault Zoe,car,2000,2000,2400.0,2400.0,Frederiksberg C,Kobenhavn NV,Frederiksberg C → Kobenhavn NV,Monday,4
